Ingredient,Count
brown sugar,26
milk,23
flour,22
eggs,22
sugar,21
cinnamon,19
margarine,18
butter,18
vanilla,6
pumpkin,6
oats,5
ginger,4
pecans,4
nutmeg,4
sweet potatoes,4
salt,3
powdered sugar,3
nuts,3
walnuts,3
oil,2
apples,2
cloves,2
baking soda,2
ground cloves,2
berries,1
frozen blueberries,1
blueberries,1
bread,1
graham cracker crumbs,1
strawberries,1
chunky peanut butter,1
vanilla extract,1
pack,1
peanut butter,1
shortening,1
dates,1
ground ginger,1
ground cinnamon,1
sorghum syrup,1
t,1
marshmallows,1
whipping cream,1
coconut,1
boiling water,1
oatmeal,1
unbaked pie shell,1
granulated sugar,1
semi-sweet chocolate morsels,1
